@relation 'adult.data.num-weka.filters.unsupervised.attribute.Remove-V-R1,5,8-13,15_clustered'

@attribute Instance_number numeric
@attribute age numeric
@attribute education-num numeric
@attribute relationship numeric
@attribute race numeric
@attribute sex numeric
@attribute capital-gain numeric
@attribute capital-loss numeric
@attribute hours-per-week numeric
@attribute class numeric
@attribute Cluster {cluster0,cluster1,cluster2}

@data
0,39,13,0,0,0,2174,0,40,0,cluster1
1,50,13,1,0,0,0,0,13,0,cluster0
2,38,9,0,0,0,0,0,40,0,cluster0
3,53,7,1,1,0,0,0,40,0,cluster0
4,28,13,2,1,1,0,0,40,0,cluster0
5,37,14,2,0,1,0,0,40,0,cluster0
6,49,5,0,1,1,0,0,16,0,cluster0
7,52,9,1,0,0,0,0,45,1,cluster2
8,31,14,0,0,1,14084,0,50,1,cluster1
9,42,13,1,0,0,5178,0,40,1,cluster1
10,37,10,1,1,0,0,0,80,1,cluster0
11,30,13,1,2,0,0,0,40,1,cluster0
12,23,13,3,0,1,0,0,30,0,cluster0
13,32,12,0,1,0,0,0,50,0,cluster0
14,40,11,1,2,0,0,0,40,1,cluster0
15,34,4,1,3,0,0,0,45,0,cluster0
16,25,9,3,0,0,0,0,35,0,cluster0
17,32,9,4,0,0,0,0,40,0,cluster0
18,38,7,1,0,0,0,0,50,0,cluster2
19,43,14,4,0,1,0,0,45,1,cluster0
20,40,16,1,0,0,0,0,60,1,cluster2
21,54,9,4,1,1,0,0,20,0,cluster0
22,35,5,1,1,0,0,0,40,0,cluster0
23,43,7,1,0,0,0,2042,40,0,cluster2
24,59,9,4,0,1,0,0,40,0,cluster0
25,56,13,1,0,0,0,0,40,1,cluster2
26,19,9,3,0,0,0,0,40,0,cluster0
27,54,10,1,2,0,0,0,60,1,cluster0
28,39,9,0,0,0,0,0,80,0,cluster2
29,49,9,1,0,0,0,0,40,0,cluster2
30,23,12,0,0,0,0,0,52,0,cluster0
31,20,10,3,1,0,0,0,44,0,cluster0
32,45,13,3,0,0,0,1408,40,0,cluster0
33,30,10,3,0,0,0,0,40,0,cluster0
34,22,10,1,1,0,0,0,15,0,cluster0
35,48,7,4,0,0,0,0,40,0,cluster0
36,21,10,3,0,0,0,0,40,0,cluster0
37,19,9,2,0,1,0,0,25,0,cluster0
38,31,10,1,0,0,0,0,38,1,cluster2
39,48,12,1,0,0,0,0,40,0,cluster2
40,31,5,1,0,0,0,0,43,0,cluster0
41,53,13,1,0,0,0,0,40,0,cluster2
42,24,13,1,0,0,0,0,50,0,cluster2
43,49,9,4,0,1,0,0,40,0,cluster0
44,25,9,0,0,0,0,0,35,0,cluster0
45,57,13,1,1,0,0,0,40,1,cluster0
46,53,9,1,0,0,0,0,38,0,cluster2
47,44,14,4,0,1,0,0,40,0,cluster0
48,41,11,1,0,0,0,0,40,0,cluster2
49,29,11,0,0,0,0,0,43,0,cluster0
50,25,10,2,4,1,0,0,40,0,cluster0
51,18,9,3,0,1,0,0,30,0,cluster0
52,47,15,2,0,1,0,1902,60,1,cluster2
53,50,13,0,0,0,0,0,55,1,cluster2
54,47,9,0,0,0,0,0,60,0,cluster2
55,43,10,1,0,0,0,0,40,1,cluster2
56,46,3,1,0,0,0,0,40,0,cluster0
57,35,11,1,0,0,0,0,40,0,cluster2
58,41,9,1,0,0,0,0,48,0,cluster2
59,30,9,1,0,0,5013,0,40,0,cluster1
60,30,13,1,0,0,2407,0,40,0,cluster1
61,32,4,0,0,0,0,0,40,0,cluster0
62,48,9,1,0,0,0,0,40,0,cluster2
63,42,16,1,0,0,0,0,45,1,cluster2
64,29,10,0,0,0,0,0,58,0,cluster0
65,36,9,1,0,0,0,0,40,0,cluster2
66,28,10,0,0,1,0,0,40,0,cluster0
67,53,9,2,0,1,0,0,40,1,cluster0
68,49,10,1,0,0,0,0,50,1,cluster2
69,25,10,3,0,0,0,0,40,0,cluster0
70,19,10,3,0,0,0,0,32,0,cluster0
71,31,13,3,1,1,0,0,40,0,cluster0
72,29,13,1,0,0,0,0,70,1,cluster2
73,23,10,0,0,0,0,0,40,0,cluster0
74,79,10,5,0,0,0,0,20,0,cluster0
75,27,9,3,0,0,0,0,40,0,cluster0
76,40,12,1,0,0,0,0,40,0,cluster2
77,67,6,1,0,0,0,0,2,0,cluster0
78,18,7,3,0,1,0,0,22,0,cluster0
79,31,4,1,0,0,0,0,40,0,cluster0
80,18,9,0,0,0,0,0,30,0,cluster0
81,52,13,1,0,0,0,0,40,0,cluster2
82,46,9,2,0,1,0,0,40,0,cluster0
83,59,9,1,0,0,0,0,48,0,cluster2
84,44,9,0,0,1,14344,0,40,1,cluster1
85,53,9,3,0,1,0,0,35,0,cluster0
86,49,9,1,0,0,0,0,40,1,cluster2
87,33,14,1,0,0,0,0,50,0,cluster2
88,30,5,0,0,0,0,0,40,0,cluster0
89,43,16,0,0,1,0,0,50,1,cluster0
90,57,11,1,0,0,0,0,40,0,cluster2
91,37,10,4,0,1,0,0,40,0,cluster0
92,28,10,4,1,1,0,0,25,0,cluster0
93,30,9,2,2,1,0,1573,35,0,cluster0
94,34,13,1,0,0,0,0,40,1,cluster2
95,29,10,0,0,0,0,0,50,0,cluster0
96,48,16,1,0,0,0,1902,60,1,cluster2
97,37,10,1,0,0,0,0,48,1,cluster2
98,48,12,4,0,1,0,0,40,0,cluster0
99,32,9,3,1,0,0,0,40,0,cluster0
100,76,14,1,0,0,0,0,40,1,cluster2
101,44,13,1,0,0,15024,0,60,1,cluster1
102,47,14,0,0,1,0,0,50,0,cluster0
103,20,10,3,0,1,0,0,40,0,cluster0
104,29,9,0,0,0,0,0,40,0,cluster0
105,32,9,1,0,0,7688,0,40,1,cluster1
106,17,6,3,0,1,34095,0,32,0,cluster1
107,30,7,3,0,0,0,0,40,0,cluster0
108,31,9,0,0,1,0,0,40,0,cluster0
109,42,9,1,0,0,0,0,40,0,cluster2
110,24,13,5,0,0,0,0,40,0,cluster0
111,38,15,1,0,0,0,0,40,1,cluster2
