Instance_number,age,education-num,relationship,race,sex,capital-gain,capital-loss,hours-per-week,class,cluster
0,0.30137,0.8,0,0,0,0.02174,0,0.397959,0,cluster1
0.000031,0.452055,0.8,0.2,0,0,0,0,0.122449,0,cluster0
0.000061,0.287671,0.533333,0,0,0,0,0,0.397959,0,cluster0
0.000092,0.493151,0.4,0.2,0.25,0,0,0,0.397959,0,cluster0
0.000123,0.150685,0.8,0.4,0.25,1,0,0,0.397959,0,cluster0
0.000154,0.273973,0.866667,0.4,0,1,0,0,0.397959,0,cluster0
0.000184,0.438356,0.266667,0,0.25,1,0,0,0.153061,0,cluster0
0.000215,0.479452,0.533333,0.2,0,0,0,0,0.44898,1,cluster2
0.000246,0.191781,0.866667,0,0,1,0.140841,0,0.5,1,cluster1
0.000276,0.342466,0.8,0.2,0,0,0.051781,0,0.397959,1,cluster1
0.000307,0.273973,0.6,0.2,0.25,0,0,0,0.806122,1,cluster0
0.000338,0.178082,0.8,0.2,0.5,0,0,0,0.397959,1,cluster0
0.000369,0.082192,0.8,0.6,0,1,0,0,0.295918,0,cluster0
0.000399,0.205479,0.733333,0,0.25,0,0,0,0.5,0,cluster0
0.00043,0.315068,0.666667,0.2,0.5,0,0,0,0.397959,1,cluster0
0.000461,0.232877,0.2,0.2,0.75,0,0,0,0.44898,0,cluster0
0.000491,0.109589,0.533333,0.6,0,0,0,0,0.346939,0,cluster0
0.000522,0.205479,0.533333,0.8,0,0,0,0,0.397959,0,cluster0
0.000553,0.287671,0.4,0.2,0,0,0,0,0.5,0,cluster2
0.000584,0.356164,0.866667,0.8,0,1,0,0,0.44898,1,cluster0
0.000614,0.315068,1,0.2,0,0,0,0,0.602041,1,cluster2
0.000645,0.506849,0.533333,0.8,0.25,1,0,0,0.193878,0,cluster0
0.000676,0.246575,0.266667,0.2,0.25,0,0,0,0.397959,0,cluster0
0.000706,0.356164,0.4,0.2,0,0,0,0.468779,0.397959,0,cluster2
0.000737,0.575342,0.533333,0.8,0,1,0,0,0.397959,0,cluster0
0.000768,0.534247,0.8,0.2,0,0,0,0,0.397959,1,cluster2
0.000799,0.027397,0.533333,0.6,0,0,0,0,0.397959,0,cluster0
0.000829,0.506849,0.6,0.2,0.5,0,0,0,0.602041,1,cluster0
0.00086,0.30137,0.533333,0,0,0,0,0,0.806122,0,cluster2
0.000891,0.438356,0.533333,0.2,0,0,0,0,0.397959,0,cluster2
0.000921,0.082192,0.733333,0,0,0,0,0,0.520408,0,cluster0
0.000952,0.041096,0.6,0.6,0.25,0,0,0,0.438776,0,cluster0
0.000983,0.383562,0.8,0.6,0,0,0,0.323232,0.397959,0,cluster0
0.001014,0.178082,0.6,0.6,0,0,0,0,0.397959,0,cluster0
0.001044,0.068493,0.6,0.2,0.25,0,0,0,0.142857,0,cluster0
0.001075,0.424658,0.4,0.8,0,0,0,0,0.397959,0,cluster0
0.001106,0.054795,0.6,0.6,0,0,0,0,0.397959,0,cluster0
0.001136,0.027397,0.533333,0.4,0,1,0,0,0.244898,0,cluster0
0.001167,0.191781,0.6,0.2,0,0,0,0,0.377551,1,cluster2
0.001198,0.424658,0.733333,0.2,0,0,0,0,0.397959,0,cluster2
0.001229,0.191781,0.266667,0.2,0,0,0,0,0.428571,0,cluster0
0.001259,0.493151,0.8,0.2,0,0,0,0,0.397959,0,cluster2
0.00129,0.09589,0.8,0.2,0,0,0,0,0.5,0,cluster2
0.001321,0.438356,0.533333,0.8,0,1,0,0,0.397959,0,cluster0
0.001351,0.109589,0.533333,0,0,0,0,0,0.346939,0,cluster0
0.001382,0.547945,0.8,0.2,0.25,0,0,0,0.397959,1,cluster0
0.001413,0.493151,0.533333,0.2,0,0,0,0,0.377551,0,cluster2
0.001443,0.369863,0.866667,0.8,0,1,0,0,0.397959,0,cluster0
0.001474,0.328767,0.666667,0.2,0,0,0,0,0.397959,0,cluster2
0.001505,0.164384,0.666667,0,0,0,0,0,0.428571,0,cluster0
0.001536,0.109589,0.6,0.4,1,1,0,0,0.397959,0,cluster0
0.001566,0.013699,0.533333,0.6,0,1,0,0,0.295918,0,cluster0
0.001597,0.410959,0.933333,0.4,0,1,0,0.436639,0.602041,1,cluster2
0.001628,0.452055,0.8,0,0,0,0,0,0.55102,1,cluster2
0.001658,0.410959,0.533333,0,0,0,0,0,0.602041,0,cluster2
0.001689,0.356164,0.6,0.2,0,0,0,0,0.397959,1,cluster2
0.00172,0.39726,0.133333,0.2,0,0,0,0,0.397959,0,cluster0
0.001751,0.246575,0.666667,0.2,0,0,0,0,0.397959,0,cluster2
0.001781,0.328767,0.533333,0.2,0,0,0,0,0.479592,0,cluster2
0.001812,0.178082,0.533333,0.2,0,0,0.050131,0,0.397959,0,cluster1
0.001843,0.178082,0.8,0.2,0,0,0.02407,0,0.397959,0,cluster1
0.001873,0.205479,0.2,0,0,0,0,0,0.397959,0,cluster0
0.001904,0.424658,0.533333,0.2,0,0,0,0,0.397959,0,cluster2
0.001935,0.342466,1,0.2,0,0,0,0,0.44898,1,cluster2
0.001966,0.164384,0.6,0,0,0,0,0,0.581633,0,cluster0
0.001996,0.260274,0.533333,0.2,0,0,0,0,0.397959,0,cluster2
0.002027,0.150685,0.6,0,0,1,0,0,0.397959,0,cluster0
0.002058,0.493151,0.533333,0.4,0,1,0,0,0.397959,1,cluster0
0.002088,0.438356,0.6,0.2,0,0,0,0,0.5,1,cluster2
0.002119,0.109589,0.6,0.6,0,0,0,0,0.397959,0,cluster0
0.00215,0.027397,0.6,0.6,0,0,0,0,0.316327,0,cluster0
0.002181,0.191781,0.8,0.6,0.25,1,0,0,0.397959,0,cluster0
0.002211,0.164384,0.8,0.2,0,0,0,0,0.704082,1,cluster2
0.002242,0.082192,0.6,0,0,0,0,0,0.397959,0,cluster0
0.002273,0.849315,0.6,1,0,0,0,0,0.193878,0,cluster0
0.002303,0.136986,0.533333,0.6,0,0,0,0,0.397959,0,cluster0
0.002334,0.315068,0.733333,0.2,0,0,0,0,0.397959,0,cluster2
0.002365,0.684932,0.333333,0.2,0,0,0,0,0.010204,0,cluster0
0.002396,0.013699,0.4,0.6,0,1,0,0,0.214286,0,cluster0
0.002426,0.191781,0.2,0.2,0,0,0,0,0.397959,0,cluster0
0.002457,0.013699,0.533333,0,0,0,0,0,0.295918,0,cluster0
