@relation 'adult.data-weka.filters.unsupervised.attribute.Remove-V-R11-12,6,8,10,15'

@attribute capital-gain numeric
@attribute capital-loss numeric
@attribute marital-status {' Never-married',' Married-civ-spouse',' Divorced',' Married-spouse-absent',' Separated',' Married-AF-spouse',' Widowed'}
@attribute relationship {' Not-in-family',' Husband',' Wife',' Own-child',' Unmarried',' Other-relative'}
@attribute sex {' Male',' Female'}
@attribute class {' <=50K',' >50K'}

@data
2174,0,' Never-married',' Not-in-family',' Male',' <=50K'
0,0,' Married-civ-spouse',' Husband',' Male',' <=50K'
0,0,' Divorced',' Not-in-family',' Male',' <=50K'
0,0,' Married-civ-spouse',' Husband',' Male',' <=50K'
0,0,' Married-civ-spouse',' Wife',' Female',' <=50K'
0,0,' Married-civ-spouse',' Wife',' Female',' <=50K'
0,0,' Married-spouse-absent',' Not-in-family',' Female',' <=50K'
0,0,' Married-civ-spouse',' Husband',' Male',' >50K'
14084,0,' Never-married',' Not-in-family',' Female',' >50K'
5178,0,' Married-civ-spouse',' Husband',' Male',' >50K'
0,0,' Married-civ-spouse',' Husband',' Male',' >50K'
0,0,' Married-civ-spouse',' Husband',' Male',' >50K'
0,0,' Never-married',' Own-child',' Female',' <=50K'
0,0,' Never-married',' Not-in-family',' Male',' <=50K'
0,0,' Married-civ-spouse',' Husband',' Male',' >50K'
0,0,' Married-civ-spouse',' Husband',' Male',' <=50K'
0,0,' Never-married',' Own-child',' Male',' <=50K'
0,0,' Never-married',' Unmarried',' Male',' <=50K'
0,0,' Married-civ-spouse',' Husband',' Male',' <=50K'
0,0,' Divorced',' Unmarried',' Female',' >50K'
0,0,' Married-civ-spouse',' Husband',' Male',' >50K'
0,0,' Separated',' Unmarried',' Female',' <=50K'
0,0,' Married-civ-spouse',' Husband',' Male',' <=50K'
0,2042,' Married-civ-spouse',' Husband',' Male',' <=50K'
0,0,' Divorced',' Unmarried',' Female',' <=50K'
0,0,' Married-civ-spouse',' Husband',' Male',' >50K'
0,0,' Never-married',' Own-child',' Male',' <=50K'
0,0,' Married-civ-spouse',' Husband',' Male',' >50K'
0,0,' Divorced',' Not-in-family',' Male',' <=50K'
0,0,' Married-civ-spouse',' Husband',' Male',' <=50K'
0,0,' Never-married',' Not-in-family',' Male',' <=50K'
0,0,' Never-married',' Own-child',' Male',' <=50K'
0,1408,' Divorced',' Own-child',' Male',' <=50K'
0,0,' Married-civ-spouse',' Own-child',' Male',' <=50K'
0,0,' Married-civ-spouse',' Husband',' Male',' <=50K'
0,0,' Never-married',' Unmarried',' Male',' <=50K'
0,0,' Never-married',' Own-child',' Male',' <=50K'
0,0,' Married-AF-spouse',' Wife',' Female',' <=50K'
0,0,' Married-civ-spouse',' Husband',' Male',' >50K'
0,0,' Married-civ-spouse',' Husband',' Male',' <=50K'
0,0,' Married-civ-spouse',' Husband',' Male',' <=50K'
0,0,' Married-civ-spouse',' Husband',' Male',' <=50K'
0,0,' Married-civ-spouse',' Husband',' Male',' <=50K'
0,0,' Separated',' Unmarried',' Female',' <=50K'
0,0,' Never-married',' Not-in-family',' Male',' <=50K'
0,0,' Married-civ-spouse',' Husband',' Male',' >50K'
0,0,' Married-civ-spouse',' Husband',' Male',' <=50K'
0,0,' Divorced',' Unmarried',' Female',' <=50K'
0,0,' Married-civ-spouse',' Husband',' Male',' <=50K'
0,0,' Never-married',' Not-in-family',' Male',' <=50K'
0,0,' Married-civ-spouse',' Wife',' Female',' <=50K'
0,0,' Never-married',' Own-child',' Female',' <=50K'
0,1902,' Married-civ-spouse',' Wife',' Female',' >50K'
0,0,' Divorced',' Not-in-family',' Male',' >50K'
