@relation 'adult.data-weka.filters.unsupervised.attribute.Remove-V-R11-12,6,8,10,15_clustered'

@attribute Instance_number numeric
@attribute capital-gain numeric
@attribute capital-loss numeric
@attribute marital-status {' Never-married',' Married-civ-spouse',' Divorced',' Married-spouse-absent',' Separated',' Married-AF-spouse',' Widowed'}
@attribute relationship {' Not-in-family',' Husband',' Wife',' Own-child',' Unmarried',' Other-relative'}
@attribute sex {' Male',' Female'}
@attribute class {' <=50K',' >50K'}
@attribute Cluster {cluster0,cluster1,cluster2}

@data
0,2174,0,' Never-married',' Not-in-family',' Male',' <=50K',cluster1
1,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
2,0,0,' Divorced',' Not-in-family',' Male',' <=50K',cluster0
3,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4,0,0,' Married-civ-spouse',' Wife',' Female',' <=50K',cluster0
5,0,0,' Married-civ-spouse',' Wife',' Female',' <=50K',cluster0
6,0,0,' Married-spouse-absent',' Not-in-family',' Female',' <=50K',cluster0
7,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
8,14084,0,' Never-married',' Not-in-family',' Female',' >50K',cluster1
9,5178,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
10,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
11,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
12,0,0,' Never-married',' Own-child',' Female',' <=50K',cluster0
13,0,0,' Never-married',' Not-in-family',' Male',' <=50K',cluster1
14,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
15,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
16,0,0,' Never-married',' Own-child',' Male',' <=50K',cluster1
17,0,0,' Never-married',' Unmarried',' Male',' <=50K',cluster0
18,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
19,0,0,' Divorced',' Unmarried',' Female',' >50K',cluster0
20,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
21,0,0,' Separated',' Unmarried',' Female',' <=50K',cluster0
22,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
23,0,2042,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster2
24,0,0,' Divorced',' Unmarried',' Female',' <=50K',cluster0
25,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
26,0,0,' Never-married',' Own-child',' Male',' <=50K',cluster1
27,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
28,0,0,' Divorced',' Not-in-family',' Male',' <=50K',cluster0
29,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
30,0,0,' Never-married',' Not-in-family',' Male',' <=50K',cluster1
31,0,0,' Never-married',' Own-child',' Male',' <=50K',cluster1
32,0,1408,' Divorced',' Own-child',' Male',' <=50K',cluster0
33,0,0,' Married-civ-spouse',' Own-child',' Male',' <=50K',cluster1
34,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
35,0,0,' Never-married',' Unmarried',' Male',' <=50K',cluster0
36,0,0,' Never-married',' Own-child',' Male',' <=50K',cluster1
37,0,0,' Married-AF-spouse',' Wife',' Female',' <=50K',cluster0
38,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
39,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
40,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
41,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
42,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
43,0,0,' Separated',' Unmarried',' Female',' <=50K',cluster0
44,0,0,' Never-married',' Not-in-family',' Male',' <=50K',cluster1
45,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
46,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
47,0,0,' Divorced',' Unmarried',' Female',' <=50K',cluster0
48,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
