@relation 'AT: adult.data-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R108-weka.filters.unsupervised.attribute.Standardize_principal components-weka.filters.unsupervised.attribute.Remove-R6-88'

@attribute '-0.424relationship= Husband-0.423marital-status= Married-civ-spouse+0.322marital-status= Never-married+0.271sex+0.232relationship= Own-child...' numeric
@attribute '0.473education-num+0.286occupation= Prof-specialty+0.239education= Bachelors-0.203native-country= Mexico-0.189education= HS-grad...' numeric
@attribute '0.453native-country= United-States-0.424race= Asian-Pac-Islander+0.392race= White-0.222native-country= Philippines-0.171race= Black...' numeric
@attribute '0.551occupation= ?+0.55 workclass= ?-0.419workclass= Private+0.199age+0.152marital-status= Widowed...' numeric
@attribute '-0.356marital-status= Divorced+0.351relationship= Own-child-0.343relationship= Unmarried+0.331marital-status= Never-married-0.32age...' numeric
@attribute class {' <=50K',' >50K'}

@data
0.619208,2.997755,0.179654,-0.110072,0.489935,' <=50K'
-2.926646,1.051631,0.129225,0.802605,0.505329,' <=50K'
1.131579,-0.435708,1.220915,-0.757475,-1.382321,' <=50K'
-0.252942,-2.534894,-0.6253,-0.140636,-0.044874,' <=50K'
0.034061,0.933556,-4.383246,-0.85537,-0.252887,' <=50K'
-1.244887,1.995973,-0.322985,-0.333501,-0.356393,' <=50K'
3.982326,-2.753422,-5.10876,-0.068184,-2.523633,' <=50K'
-2.868326,-0.743968,0.627961,0.909053,-0.561353,' >50K'
0.493677,3.529096,-0.087658,-1.171742,0.408654,' >50K'
-2.568411,0.80356,0.243578,-0.875912,0.539578,' >50K'
-1.618863,-0.545881,-1.000306,-0.818889,-0.391672,' >50K'
-2.357962,1.68184,-8.248156,-1.157652,2.914036,' >50K'
2.267073,1.943798,0.842992,-1.197525,1.695295,' <=50K'
1.739144,1.076736,-0.688616,-1.286175,0.061921,' <=50K'
-1.561981,-1.879463,-5.305229,-1.453567,1.227274,' >50K'
-0.556789,-5.705149,-2.774397,0.038692,-0.544744,' <=50K'
0.868586,-0.690478,1.510601,0.57192,1.597246,' <=50K'
1.487441,-0.924537,0.896729,-0.764857,-0.917365,' <=50K'
-1.292612,-1.67179,1.179115,-0.486784,0.636712,' <=50K'
-0.459078,2.943719,-0.369067,0.865756,-2.618163,' >50K'
-3.311056,2.16549,-0.608357,-1.019951,0.804684,' >50K'
2.955382,-0.742293,-1.546639,0.555772,-3.748947,' <=50K'
-0.948667,-2.471248,-1.221925,1.581511,-0.886781,' <=50K'
-1.716875,-2.05056,1.10768,-0.195201,0.309263,' <=50K'
1.126428,0.494221,0.545767,0.134316,-3.437699,' <=50K'
-2.761573,1.486055,-0.123245,0.442347,0.19412,' >50K'
1.594798,-0.995999,1.782991,-1.137279,1.673715,' <=50K'
-1.141863,-1.283289,-7.48562,4.655728,3.65531,' >50K'
-0.077667,0.402656,0.878617,-1.023944,-2.088874,' <=50K'
-1.933043,-1.903648,1.098817,-0.323062,-0.40307,' <=50K'
0.442198,2.259364,0.487948,0.158517,0.490489,' <=50K'
2.615437,-0.032987,-0.132439,-1.185402,1.890038,' <=50K'
-0.080489,1.81345,0.512902,-0.975813,0.159811,' <=50K'
0.091937,0.741733,0.779805,0.552978,0.916679,' <=50K'
0.150629,-0.314234,-1.289881,0.79727,0.432549,' <=50K'
2.048778,-2.665279,-1.666546,-0.669075,-0.759591,' <=50K'
1.932594,-0.419473,1.395665,-1.238913,2.070217,' <=50K'
1.756208,0.078277,0.842664,0.007735,-0.98811,' <=50K'
-1.278326,-1.400152,-1.677791,-1.211288,1.3912,' >50K'
-2.917542,1.039803,-0.004333,0.647284,0.229266,' <=50K'
-0.867637,-3.366246,0.625652,-0.397028,-0.148228,' <=50K'
-3.365511,1.606644,-0.232769,0.557461,0.490171,' <=50K'
-1.998582,0.683193,0.431302,-1.356548,1.039084,' <=50K'
1.727598,0.10851,0.310462,0.213775,-3.433475,' <=50K'
1.850108,-0.641611,1.394959,-1.253141,0.712688,' <=50K'
-2.237469,1.733284,-2.291967,0.616943,-0.379481,' >50K'
-1.675387,-1.959144,0.837274,-0.315724,-0.700205,' <=50K'
0.236576,2.719198,-0.176443,-0.25335,-2.633788,' <=50K'
-2.449505,0.00945,0.540028,0.556594,0.163322,' <=50K'
0.819751,1.650339,0.581611,-1.244054,0.678433,' <=50K'
0.396814,-0.152538,-1.883117,-0.252221,-0.212985,' <=50K'
3.159137,-1.162984,-1.405311,-1.415505,1.762922,' <=50K'
-1.90336,2.159953,-3.259304,-0.534766,-0.2814,' >50K'
-0.83608,2.968629,-0.127617,0.143473,-1.588514,' >50K'
