@relation adult.data

@attribute age numeric
@attribute workclass {' State-gov',' Self-emp-not-inc',' Private',' Federal-gov',' Local-gov',' ?',' Self-emp-inc',' Without-pay',' Never-worked'}
@attribute fnlwgt numeric
@attribute education {' Bachelors',' HS-grad',' 11th',' Masters',' 9th',' Some-college',' Assoc-acdm',' Assoc-voc',' 7th-8th',' Doctorate',' Prof-school',' 5th-6th',' 10th',' 1st-4th',' Preschool',' 12th'}
@attribute education-num numeric
@attribute marital-status {' Never-married',' Married-civ-spouse',' Divorced',' Married-spouse-absent',' Separated',' Married-AF-spouse',' Widowed'}
@attribute occupation {' Adm-clerical',' Exec-managerial',' Handlers-cleaners',' Prof-specialty',' Other-service',' Sales',' Craft-repair',' Transport-moving',' Farming-fishing',' Machine-op-inspct',' Tech-support',' ?',' Protective-serv',' Armed-Forces',' Priv-house-serv'}
@attribute relationship {' Not-in-family',' Husband',' Wife',' Own-child',' Unmarried',' Other-relative'}
@attribute race {' White',' Black',' Asian-Pac-Islander',' Amer-Indian-Eskimo',' Other'}
@attribute sex {' Male',' Female'}
@attribute capital-gain numeric
@attribute capital-loss numeric
@attribute hours-per-week numeric
@attribute native-country {' United-States',' Cuba',' Jamaica',' India',' ?',' Mexico',' South',' Puerto-Rico',' Honduras',' England',' Canada',' Germany',' Iran',' Philippines',' Italy',' Poland',' Columbia',' Cambodia',' Thailand',' Ecuador',' Laos',' Taiwan',' Haiti',' Portugal',' Dominican-Republic',' El-Salvador',' France',' Guatemala',' China',' Japan',' Yugoslavia',' Peru',' Outlying-US(Guam-USVI-etc)',' Scotland',' Trinadad&Tobago',' Greece',' Nicaragua',' Vietnam',' Hong',' Ireland',' Hungary',' Holand-Netherlands'}
@attribute class {' <=50K',' >50K'}

@data
23,' Federal-gov',314525,' Bachelors',13,' Never-married',' Prof-specialty',' Not-in-family',' White',' Male',0,0,40,' United-States',' <=50K'
37,' Local-gov',118909,' HS-grad',9,' Divorced',' Adm-clerical',' Unmarried',' Black',' Female',0,0,35,' United-States',' <=50K'
56,' Self-emp-not-inc',110238,' Bachelors',13,' Married-spouse-absent',' Prof-specialty',' Not-in-family',' White',' Female',0,0,40,' United-States',' >50K'
58,' Self-emp-inc',190541,' HS-grad',9,' Never-married',' Sales',' Not-in-family',' White',' Male',0,0,47,' United-States',' <=50K'
68,' Private',217424,' HS-grad',9,' Married-civ-spouse',' Protective-serv',' Husband',' White',' Male',0,0,24,' United-States',' <=50K'
29,' Private',201954,' Bachelors',13,' Never-married',' Exec-managerial',' Not-in-family',' White',' Male',0,0,35,' United-States',' <=50K'
34,' Private',228881,' Some-college',10,' Separated',' Machine-op-inspct',' Not-in-family',' Other',' Male',0,0,40,' United-States',' <=50K'
37,' Self-emp-not-inc',243587,' Some-college',10,' Separated',' Other-service',' Own-child',' White',' Female',0,0,40,' Cuba',' <=50K'
46,' Private',324655,' Masters',14,' Married-civ-spouse',' Tech-support',' Husband',' White',' Male',0,1902,40,' ?',' >50K'
25,' Private',161478,' Bachelors',13,' Never-married',' Prof-specialty',' Not-in-family',' Asian-Pac-Islander',' Female',0,0,40,' United-States',' <=50K'
46,' Private',55720,' Masters',14,' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',0,0,45,' United-States',' >50K'
42,' State-gov',404573,' Prof-school',15,' Divorced',' Prof-specialty',' Unmarried',' White',' Female',0,0,40,' United-States',' <=50K'
32,' Private',107218,' Bachelors',13,' Never-married',' Adm-clerical',' Not-in-family',' Asian-Pac-Islander',' Male',0,0,40,' United-States',' <=50K'
39,' Local-gov',132879,' Bachelors',13,' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',0,1887,40,' United-States',' >50K'
19,' Private',188008,' Some-college',10,' Never-married',' Sales',' Own-child',' Black',' Female',0,0,20,' United-States',' <=50K'
43,' Self-emp-not-inc',355856,' Bachelors',13,' Married-civ-spouse',' Exec-managerial',' Husband',' Asian-Pac-Islander',' Male',0,0,50,' Philippines',' <=50K'
66,' Local-gov',189834,' 7th-8th',4,' Widowed',' Other-service',' Not-in-family',' White',' Female',0,0,20,' United-States',' <=50K'
24,' Private',192017,' Some-college',10,' Married-civ-spouse',' Handlers-cleaners',' Husband',' White',' Male',0,0,30,' United-States',' <=50K'
56,' ?',656036,' HS-grad',9,' Married-civ-spouse',' ?',' Husband',' White',' Male',0,0,25,' United-States',' <=50K'
65,' Private',386672,' Assoc-voc',11,' Married-civ-spouse',' Adm-clerical',' Husband',' White',' Male',0,0,15,' United-States',' <=50K'
32,' Private',271276,' HS-grad',9,' Married-civ-spouse',' Transport-moving',' Husband',' White',' Male',0,0,80,' United-States',' >50K'
20,' Private',227411,' Some-college',10,' Never-married',' Other-service',' Own-child',' White',' Female',0,0,20,' United-States',' <=50K'
30,' Private',169589,' Some-college',10,' Married-civ-spouse',' Adm-clerical',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
19,' Private',246226,' HS-grad',9,' Never-married',' Craft-repair',' Not-in-family',' White',' Female',0,0,40,' United-States',' <=50K'
20,' Private',194504,' Some-college',10,' Separated',' Sales',' Unmarried',' Black',' Female',0,0,40,' United-States',' <=50K'
42,' Private',169995,' HS-grad',9,' Married-civ-spouse',' Sales',' Husband',' White',' Male',0,0,48,' United-States',' <=50K'
41,' Private',290660,' Bachelors',13,' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',7688,0,55,' United-States',' >50K'
33,' Private',93930,' HS-grad',9,' Never-married',' Craft-repair',' Not-in-family',' White',' Male',0,0,50,' United-States',' <=50K'
59,' Self-emp-not-inc',357943,' Bachelors',13,' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',0,0,40,' United-States',' >50K'
