@relation iris.ica-weka.filters.unsupervised.attribute.Remove-R1_clustered-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute Cluster {cluster0,cluster1}

@data
0.111623,-0.044059,cluster1
0.105092,0.038278,cluster1
0.112518,0.033594,cluster1
0.104107,0.061854,cluster1
0.113499,-0.045105,cluster1
0.102175,-0.115368,cluster1
0.110647,0.024182,cluster1
0.106887,-0.018391,cluster1
0.105657,0.105415,cluster1
0.104428,0.027705,cluster1
0.109667,-0.098635,cluster1
0.104026,0.006231,cluster1
0.10704,0.04819,cluster1
0.120096,0.095491,cluster1
0.123468,-0.186654,cluster1
0.115647,-0.213903,cluster1
0.116871,-0.125734,cluster1
0.110082,-0.042955,cluster1
0.101026,-0.137455,cluster1
0.110815,-0.076548,cluster1
0.097911,-0.057268,cluster1
0.107805,-0.063383,cluster1
0.129823,-0.01141,cluster1
0.09304,-0.008851,cluster1
0.093004,0.014005,cluster1
0.097337,0.032446,cluster1
0.100131,-0.013592,cluster1
0.107542,-0.052482,cluster1
0.109747,-0.043013,cluster1
0.101495,0.041369,cluster1
0.09962,0.042415,cluster1
0.102178,-0.060245,cluster1
0.117897,-0.125953,cluster1
0.120279,-0.172548,cluster1
0.104428,0.027705,cluster1
0.114971,-0.002043,cluster1
0.11367,-0.090711,cluster1
0.104428,0.027705,cluster1
0.1108,0.090762,cluster1
0.10648,-0.029406,cluster1
0.114163,-0.034532,cluster1
0.09857,0.165279,cluster1
0.113738,0.06664,cluster1
0.098518,-0.023447,cluster1
0.094578,-0.065078,cluster1
0.103958,0.050396,cluster1
0.108682,-0.07506,cluster1
0.10925,0.047201,cluster1
0.110073,-0.08762,cluster1
0.109092,-0.008921,cluster1
-0.040249,-0.118402,cluster0
-0.032,-0.05639,cluster0
-0.0502,-0.089039,cluster0
-0.020107,0.136133,cluster0
-0.041957,-0.016569,cluster0
-0.031947,0.066754,cluster0
-0.039014,-0.05115,cluster0
0.014144,0.168712,cluster0
-0.037813,-0.041852,cluster0
-0.010878,0.119445,cluster0
0.000513,0.211125,cluster0
-0.021882,0.015033,cluster0
-0.018988,0.089808,cluster0
-0.040994,0.016918,cluster0
0.002996,0.042384,cluster0
-0.029475,-0.081069,cluster0
-0.031684,0.055853,cluster0
-0.014504,0.054124,cluster0
-0.045876,0.086253,cluster0
-0.010821,0.096197,cluster0
-0.045611,0.00977,cluster0
-0.015204,0.009736,cluster0
-0.056573,0.04942,cluster0
-0.039381,0.026773,cluster0
-0.025977,-0.027596,cluster0
-0.030537,-0.057993,cluster0
-0.048985,-0.045535,cluster0
-0.057611,-0.050149,cluster0
-0.03478,0.023854,cluster0
0.006479,0.061651,cluster0
-0.008209,0.116682,cluster0
-0.002994,0.112987,cluster0
-0.010237,0.051148,cluster0
-0.061303,0.064629,cluster0
-0.03087,0.077884,cluster0
-0.028976,-0.035349,cluster0
-0.042038,-0.072191,cluster0
-0.038058,0.058378,cluster0
-0.013906,0.04328,cluster0
-0.01717,0.11201,cluster0
-0.028856,0.109212,cluster0
-0.035851,0.002266,cluster0
-0.01538,0.0658,cluster0
0.012268,0.169758,cluster0
-0.021987,0.082056,cluster0
-0.016446,0.033753,cluster0
-0.019455,0.046918,cluster0
-0.025164,-0.005566,cluster0
0.02428,0.127949,cluster0
-0.01725,0.056388,cluster0
-0.100644,-0.00753,cluster0
-0.065112,0.08997,cluster0
-0.098468,-0.066472,cluster0
-0.081038,0.022626,cluster0
-0.093894,-0.001869,cluster0
-0.126221,-0.103407,cluster0
-0.039262,0.195473,cluster0
-0.110825,-0.069385,cluster0
-0.095889,0.031993,cluster0
-0.103573,-0.140258,cluster0
-0.062156,-0.046339,cluster0
-0.074901,0.029062,cluster0
-0.082552,-0.043793,cluster0
-0.06551,0.123619,cluster0
-0.071347,0.083426,cluster0
-0.07372,-0.026831,cluster0
-0.076708,-0.014058,cluster0
-0.120091,-0.207218,cluster0
-0.146608,-0.056196,cluster0
-0.063433,0.121241,cluster0
-0.09045,-0.07154,cluster0
-0.057022,0.095859,cluster0
-0.131699,-0.088812,cluster0
-0.058257,0.028608,cluster0
-0.085086,-0.063778,cluster0
-0.094989,-0.102329,cluster0
-0.052707,0.02497,cluster0
-0.053037,0.014454,cluster0
-0.087536,0.026982,cluster0
-0.087497,-0.085596,cluster0
-0.106893,-0.072419,cluster0
-0.106801,-0.239229,cluster0
-0.089077,0.028085,cluster0
-0.059514,0.018419,cluster0
-0.078468,0.076426,cluster0
-0.111339,-0.125173,cluster0
-0.082938,-0.03106,cluster0
-0.074833,-0.015104,cluster0
-0.048956,0.022878,cluster0
-0.077815,-0.069461,cluster0
-0.088972,-0.038937,cluster0
-0.069875,-0.075028,cluster0
-0.065112,0.08997,cluster0
-0.097392,-0.055342,cluster0
-0.091249,-0.059365,cluster0
-0.074204,-0.038345,cluster0
-0.06641,0.056425,cluster0
-0.068768,-0.019625,cluster0
-0.073642,-0.026332,cluster0
-0.059571,0.041667,cluster0
