@relation 'adult.data-weka.filters.unsupervised.attribute.Remove-R2-4,7,9,14-weka.filters.supervised.attribute.NominalToBinary'

@attribute age numeric
@attribute education-num numeric
@attribute 'marital-status= Never-married' numeric
@attribute 'marital-status= Married-civ-spouse' numeric
@attribute 'marital-status= Divorced' numeric
@attribute 'marital-status= Married-spouse-absent' numeric
@attribute 'marital-status= Separated' numeric
@attribute 'marital-status= Married-AF-spouse' numeric
@attribute 'marital-status= Widowed' numeric
@attribute 'relationship= Not-in-family' numeric
@attribute 'relationship= Husband' numeric
@attribute 'relationship= Wife' numeric
@attribute 'relationship= Own-child' numeric
@attribute 'relationship= Unmarried' numeric
@attribute 'relationship= Other-relative' numeric
@attribute sex numeric
@attribute capital-gain numeric
@attribute capital-loss numeric
@attribute hours-per-week numeric
@attribute class {' <=50K',' >50K'}

@data
39,13,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2174,0,40,' <=50K'
50,13,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,' <=50K'
38,9,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,40,' <=50K'
53,7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,' <=50K'
28,13,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,40,' <=50K'
37,14,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,40,' <=50K'
49,5,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,16,' <=50K'
52,9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,45,' >50K'
31,14,1,0,0,0,0,0,0,1,0,0,0,0,0,1,14084,0,50,' >50K'
42,13,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5178,0,40,' >50K'
37,10,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,80,' >50K'
30,13,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,' >50K'
23,13,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,30,' <=50K'
32,12,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,50,' <=50K'
40,11,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,' >50K'
34,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,45,' <=50K'
25,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,35,' <=50K'
32,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,40,' <=50K'
38,7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50,' <=50K'
43,14,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,45,' >50K'
40,16,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,60,' >50K'
54,9,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,20,' <=50K'
35,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,' <=50K'
43,7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2042,40,' <=50K'
59,9,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,40,' <=50K'
56,13,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,' >50K'
19,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40,' <=50K'
54,10,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,60,' >50K'
39,9,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,80,' <=50K'
49,9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,' <=50K'
23,12,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,52,' <=50K'
20,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,44,' <=50K'
45,13,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1408,40,' <=50K'
30,10,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40,' <=50K'
22,10,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,' <=50K'
48,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,40,' <=50K'
21,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40,' <=50K'
19,9,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,25,' <=50K'
31,10,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,38,' >50K'
48,12,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,' <=50K'
31,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,43,' <=50K'
53,13,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,' <=50K'
24,13,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50,' <=50K'
