age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,over-50k,class
39,0,0,13,0,0,0,0,0,7,0,40,0,0,cluster1
50,11,0,13,14,6,16,0,0,0,0,13,0,0,cluster3
38,22,6,9,28,12,0,0,0,0,0,40,0,0,cluster2
53,22,12,7,14,12,16,20,0,0,0,40,0,0,cluster3
28,22,0,13,14,18,32,20,50,0,0,40,2,0,cluster3
37,22,18,14,14,6,32,0,50,0,0,40,0,0,cluster3
49,22,24,5,42,24,0,20,50,0,0,16,4,0,cluster3
52,11,6,9,14,6,16,0,0,0,0,45,0,50,cluster3
31,22,18,14,0,18,0,0,50,9,0,50,0,50,cluster1
42,22,0,13,14,6,16,0,0,8,0,40,0,50,cluster1
37,22,30,10,14,6,16,20,0,0,0,80,0,50,cluster3
30,0,0,13,14,18,16,40,0,0,0,40,6,50,cluster3
23,22,0,13,0,0,48,0,50,0,0,30,0,0,cluster2
32,22,36,12,0,30,0,20,0,0,0,50,0,0,cluster2
40,22,42,11,14,36,16,40,0,0,0,40,8,50,cluster3
34,22,48,4,14,42,16,60,0,0,0,45,10,0,cluster3
25,11,6,9,0,48,48,0,0,0,0,35,0,0,cluster2
32,22,6,9,0,54,64,0,0,0,0,40,0,0,cluster2
38,22,12,7,14,30,16,0,0,0,0,50,0,0,cluster3
43,11,18,14,28,6,64,0,50,0,0,45,0,50,cluster3
40,22,54,16,14,18,16,0,0,0,0,60,0,50,cluster1
54,22,6,9,56,24,64,20,50,0,0,20,0,0,cluster3
35,33,24,5,14,48,16,20,0,0,0,40,0,0,cluster3
43,22,12,7,14,42,16,0,0,0,7,40,0,0,cluster1
59,22,6,9,28,60,64,0,50,0,0,40,0,0,cluster3
56,44,0,13,14,60,16,0,0,0,0,40,0,50,cluster3
19,22,6,9,0,36,48,0,0,0,0,40,0,0,cluster2
54,55,30,10,14,66,16,40,0,0,0,60,12,50,cluster3
39,22,6,9,28,6,0,0,0,0,0,80,0,0,cluster2
49,22,6,9,14,36,16,0,0,0,0,40,0,0,cluster3
23,44,36,12,0,72,0,0,0,0,0,52,0,0,cluster2
20,22,30,10,0,30,48,20,0,0,0,44,0,0,cluster2
45,22,0,13,28,6,48,0,0,0,7,40,0,0,cluster2
30,33,30,10,14,0,48,0,0,0,0,40,0,0,cluster2
22,0,30,10,14,24,16,20,0,0,0,15,0,0,cluster2
48,22,12,7,0,54,64,0,0,0,0,40,14,0,cluster3
21,22,30,10,0,54,48,0,0,0,0,40,0,0,cluster2
19,22,6,9,70,0,32,0,50,0,0,25,0,0,cluster2
31,22,30,10,14,30,16,0,0,0,0,38,8,50,cluster3
48,11,36,12,14,18,16,0,0,0,0,40,0,0,cluster3
31,22,24,5,14,54,16,0,0,0,0,43,0,0,cluster2
53,11,0,13,14,18,16,0,0,0,0,40,0,0,cluster3
24,22,0,13,14,60,16,0,0,0,0,50,0,0,cluster3
49,22,6,9,56,0,64,0,50,0,0,40,0,0,cluster3
25,22,6,9,0,12,0,0,0,0,0,35,0,0,cluster2
57,33,0,13,14,18,16,20,0,0,0,40,0,50,cluster3
53,22,6,9,14,54,16,0,0,0,0,38,0,0,cluster3
44,22,18,14,28,6,64,0,50,0,0,40,0,0,cluster3
41,0,42,11,14,36,16,0,0,0,0,40,0,0,cluster3
29,22,42,11,0,18,0,0,0,0,0,43,0,0,cluster2
25,22,30,10,14,6,32,80,50,0,0,40,0,0,cluster3
18,22,6,9,0,24,48,0,50,0,0,30,8,0,cluster2
47,22,60,15,14,18,32,0,50,0,7,60,16,50,cluster1
50,33,0,13,28,6,0,0,0,0,0,55,0,50,cluster3
47,66,6,9,28,6,0,0,0,0,0,60,0,0,cluster3
43,22,30,10,14,60,16,0,0,0,0,40,0,50,cluster3
46,22,66,3,14,54,16,0,0,0,0,40,10,0,cluster3
35,22,42,11,14,24,16,0,0,0,0,40,14,0,cluster3
41,22,6,9,14,0,16,0,0,0,0,48,0,0,cluster3
30,22,6,9,14,54,16,0,0,8,0,40,0,0,cluster1
30,22,0,13,14,30,16,0,0,7,0,40,0,0,cluster1
32,55,48,4,42,66,0,0,0,0,0,40,8,0,cluster2
48,22,6,9,14,42,16,0,0,0,0,40,0,0,cluster3
42,22,54,16,14,18,16,0,0,0,0,45,0,50,cluster3
29,22,30,10,28,60,0,0,0,0,0,58,0,0,cluster2
36,22,6,9,14,36,16,0,0,0,0,40,0,0,cluster3
28,22,30,10,28,0,0,0,50,0,0,40,0,0,cluster2
53,22,6,9,14,0,32,0,50,0,0,40,0,50,cluster3
49,66,30,10,14,6,16,0,0,0,0,50,0,50,cluster3
25,55,30,10,0,66,48,0,0,0,0,40,0,0,cluster2
19,22,30,10,0,18,48,0,0,0,0,32,0,0,cluster2
31,22,0,13,56,30,48,20,50,0,0,40,0,0,cluster2
29,11,0,13,14,30,16,0,0,0,0,70,0,50,cluster1
23,22,30,10,0,54,0,0,0,0,0,40,0,0,cluster2
79,22,30,10,14,18,80,0,0,0,0,20,0,0,cluster3
27,22,6,9,0,24,48,0,0,0,0,40,10,0,cluster2
40,22,36,12,14,0,16,0,0,0,0,40,0,0,cluster3
67,55,72,6,14,66,16,0,0,0,0,2,0,0,cluster3
18,22,12,7,0,24,48,0,50,0,0,22,0,0,cluster2
31,44,48,4,14,48,16,0,0,0,0,40,0,0,cluster3
18,22,6,9,0,30,0,0,0,0,0,30,0,0,cluster2
52,22,0,13,14,24,16,0,0,0,0,40,2,0,cluster3
46,22,6,9,14,24,32,0,50,0,0,40,0,0,cluster3
59,22,6,9,14,30,16,0,0,0,0,48,0,0,cluster3
44,22,6,9,28,36,0,0,50,9,0,40,0,50,cluster1
53,22,6,9,28,30,48,0,50,0,0,35,0,0,cluster3
49,44,6,9,14,72,16,0,0,0,0,40,0,50,cluster3
